Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,0.3223854396324838,0.36972233738971566,0.19228279073133445,0.2048849116688318,0.21916722693212834,0.018014310017872934,0.19270669030316734,0.2136757994088267,0.31898248275632207,0.05546363627924393,0.139985513205196,0.07101418629935075,-0.2926579174313054,0.19410270357697074,0.24230537684100914,-0.08824413765262439,-0.11531426587082376,-0.13662032126137696
0,-0.2623068683029183,-0.3092975901890097,0.3466613063617188,-0.2841157877457373,-0.16394515058163878,-0.20584415512431237,0.08719307780083194,-0.5013952802263131,-0.21068511972898465,0.06260572954101962,0.0884342688484838,-0.12900214194324827,-0.20057764010063156,-0.06154045902099192,0.04831897331445382,-0.1237111326059798,0.09602994269350962,-0.060464212692086836
1,-0.16786325430353902,-0.24705647211837647,0.09538157420396913,-0.29878745371278664,-0.07222428492835331,-0.00931883546992868,0.13569966600315192,-0.18849034065979178,-0.1875485470717761,0.08697468908904567,0.15641736489018476,-0.01647421819936505,0.15898977298498068,-0.1911304236382232,-0.2095112360953154,0.13814122525132058,0.24146302680183984,0.05624322635295451
2,-0.1130872028554963,-0.196909205092858,-0.07615174757019576,-0.2352658925242133,0.06261493985575992,0.015596029907760314,-0.2621697110102319,0.3186403565998249,0.21531217568298192,-0.12705358127853186,-0.11241810302673498,0.2495794816740163,0.46188688477322065,-0.4551443192785518,-0.20907389500105653,-0.051230189399985165,0.1829114560567173,0.08833024243234766
3,0.19103491774785356,0.14930726022031338,-0.31169276263650975,0.26438826723479986,0.039649196080298515,0.18897225790707628,-0.28164538382164434,0.17836332336655064,0.1533794852547146,-0.09887049987656923,-0.40633733471298844,-0.2887233121292886,-0.19189617407336276,0.18188153096319634,0.16671811667087924,-0.10044221671218581,-0.25641689883014385,0.284542641801642
5,0.17951956050432982,0.3326912857528513,0.4075445268864496,0.27947090316341516,-0.05981465959535352,0.00624366539374565,0.2130467701567692,0.2838099717814833,-0.0613315851987345,0.32387507700337864,-0.010710514114135301,0.28216273807444553,-0.0913026308547359,0.18044226965887944,0.3770248911503223,-0.04702307306923749,-0.1271769483985207,-0.15415318877584339
6,0.1129594922979309,-0.26035793787559264,-0.20673012091665813,-0.19814805440461264,-0.08110663143586905,0.047781520454979354,0.03725126443989571,-0.11866685743238502,0.1215611078741794,-0.12524891950881858,0.1713762217818896,-0.06468175592903047,0.040663318940736035,-0.2747104091041232,0.19287501429237264,-0.07198096260983149,-0.23931996772309796,0.1353955421224019
14,0.19079892135355336,0.19558126724187427,0.2669101432695681,0.0060120106464234754,-0.11942950925560425,0.06098000991613117,0.32704203617564,0.3427898561260586,0.11767875770275027,0.4291496615670062,0.0307254901233047,0.1115843838194016,-0.1907647845226722,0.26763869472257795,0.09652423403365556,0.2908188535266263,-0.12108537734399745,-0.07510164449654408
10,-0.12213831344738352,0.23865715931308873,0.26920860894680204,0.11983407662246913,0.10203048207604591,-0.055509568603586884,0.021313966439409904,0.2224837924852658,-0.17462942828564418,0.14133327410531693,-0.1697317434379585,0.18003994711862842,-0.07342974813229099,0.20411086565919268,-0.21664003056637196,0.16485830123794748,0.19271482226267506,-0.1049698762836052
7,0.04364138187872803,-0.17810504855962087,-0.12801999370983186,-0.05547321664497812,-0.33305658613977746,0.07437134962945136,0.2615445514981025,-0.36172087617674836,0.18449734381668703,-0.10556801119250739,0.22813514473164354,-0.1153749955595801,0.05893177353436314,0.1800752841932757,-0.062387342980978346,0.24466725686280916,-0.13145521687034273,-0.09626248669984266
