Target_Activity,TestActivity,mode,GhostRatio,Actual,Count
ladderActivity,sphereActivity,markov,0.2,0,0
ladderActivity,sphereActivity,markov,0.2,1,0
ladderActivity,sphereActivity,markov,0.3,0,0
ladderActivity,sphereActivity,markov,0.3,1,0
ladderActivity,sphereActivity,markov,0.4,0,0
ladderActivity,sphereActivity,markov,0.4,1,0
ladderActivity,sphereActivity,markov,0.5,0,0
ladderActivity,sphereActivity,markov,0.5,1,0
ladderActivity,sphereActivity,markov,0.6,0,0
ladderActivity,sphereActivity,markov,0.6,1,0
ladderActivity,sphereActivity,markov,0.7,0,0
ladderActivity,sphereActivity,markov,0.7,1,0
ladderActivity,sphereActivity,markov,0.8,0,0
ladderActivity,sphereActivity,markov,0.8,1,0
ladderActivity,sphereActivity,markov,0.9,0,0
ladderActivity,sphereActivity,markov,0.9,1,0
ladderActivity,sphereActivity,markov,1.0,0,0
ladderActivity,sphereActivity,markov,1.0,1,0
ladderActivity,sphereActivity,suffix_tree,0.0,0,142
ladderActivity,sphereActivity,suffix_tree,0.0,1,0
ladderActivity,sphereActivity,suffix_tree,0.1,0,26
ladderActivity,sphereActivity,suffix_tree,0.1,1,0
ladderActivity,sphereActivity,suffix_tree,0.2,0,100
ladderActivity,sphereActivity,suffix_tree,0.2,1,0
ladderActivity,sphereActivity,suffix_tree,0.3,0,91
ladderActivity,sphereActivity,suffix_tree,0.3,1,0
ladderActivity,sphereActivity,suffix_tree,0.4,0,84
ladderActivity,sphereActivity,suffix_tree,0.4,1,0
ladderActivity,sphereActivity,suffix_tree,0.5,0,198
ladderActivity,sphereActivity,suffix_tree,0.5,1,0
ladderActivity,sphereActivity,suffix_tree,0.6,0,151
ladderActivity,sphereActivity,suffix_tree,0.6,1,0
ladderActivity,sphereActivity,suffix_tree,0.7,0,115
ladderActivity,sphereActivity,suffix_tree,0.7,1,0
ladderActivity,sphereActivity,suffix_tree,0.8,0,92
ladderActivity,sphereActivity,suffix_tree,0.8,1,0
ladderActivity,sphereActivity,suffix_tree,0.9,0,7
ladderActivity,sphereActivity,suffix_tree,0.9,1,0
ladderActivity,sphereActivity,suffix_tree,1.0,0,344
ladderActivity,sphereActivity,suffix_tree,1.0,1,0
ladderActivity,ladderActivity,markov,0.0,0,0
ladderActivity,ladderActivity,markov,0.0,1,0
ladderActivity,ladderActivity,markov,0.1,0,0
ladderActivity,ladderActivity,markov,0.1,1,0
ladderActivity,ladderActivity,markov,0.2,0,0
ladderActivity,ladderActivity,markov,0.2,1,0
ladderActivity,ladderActivity,markov,0.3,0,0
ladderActivity,ladderActivity,markov,0.3,1,0
ladderActivity,ladderActivity,markov,0.4,0,0
ladderActivity,ladderActivity,markov,0.4,1,0
ladderActivity,ladderActivity,markov,0.5,0,0
ladderActivity,ladderActivity,markov,0.5,1,0
ladderActivity,ladderActivity,markov,0.6,0,0
ladderActivity,ladderActivity,markov,0.6,1,0
ladderActivity,ladderActivity,markov,0.7,0,0
ladderActivity,ladderActivity,markov,0.7,1,0
ladderActivity,ladderActivity,markov,0.8,0,0
ladderActivity,ladderActivity,markov,0.8,1,0
ladderActivity,ladderActivity,markov,0.9,0,0
ladderActivity,ladderActivity,markov,0.9,1,0
ladderActivity,ladderActivity,markov,1.0,0,0
ladderActivity,ladderActivity,markov,1.0,1,0
ladderActivity,ladderActivity,suffix_tree,0.0,0,0
ladderActivity,ladderActivity,suffix_tree,0.0,1,67
ladderActivity,ladderActivity,suffix_tree,0.1,0,0
ladderActivity,ladderActivity,suffix_tree,0.1,1,73
ladderActivity,ladderActivity,suffix_tree,0.2,0,0
ladderActivity,ladderActivity,suffix_tree,0.2,1,82
ladderActivity,ladderActivity,suffix_tree,0.3,0,0
ladderActivity,ladderActivity,suffix_tree,0.3,1,70
ladderActivity,ladderActivity,suffix_tree,0.4,0,0
ladderActivity,ladderActivity,suffix_tree,0.4,1,47
ladderActivity,ladderActivity,suffix_tree,0.5,0,0
ladderActivity,ladderActivity,suffix_tree,0.5,1,64
ladderActivity,ladderActivity,suffix_tree,0.6,0,0
ladderActivity,ladderActivity,suffix_tree,0.6,1,36
ladderActivity,ladderActivity,suffix_tree,0.7,0,0
ladderActivity,ladderActivity,suffix_tree,0.7,1,32
ladderActivity,ladderActivity,suffix_tree,0.8,0,0
ladderActivity,ladderActivity,suffix_tree,0.8,1,18
ladderActivity,ladderActivity,suffix_tree,0.9,0,0
ladderActivity,ladderActivity,suffix_tree,0.9,1,9
ladderActivity,ladderActivity,suffix_tree,1.0,0,0
ladderActivity,ladderActivity,suffix_tree,1.0,1,18
