Username,Adjective,LogNumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
pedro,-0.0011516313359772575,1.0,0.03163001897863443,-0.08675282921776986,0.04526511562961754,0.2636467717053295,0.13649981286385457,-0.27496203617788717,0.26728559351970393,-0.27036823594278825,-0.14937710728241313,0.21837174683135313,0.0095008131978422,-0.2608499290697946,-0.45579768245366736,-0.21596805914100153,0.260986811399626,0.13850133186469335,0.33974220275490086,0.29307017250367895
pedro,0.0007413805676867782,1.0,0.0029000797226924973,-0.30942340433925275,-0.4271899567530585,0.3265296696954041,-0.12203937772089764,0.11325686664933937,0.2270224778583895,-0.2378802304375339,-0.14056353954213535,-0.24002017507463166,-0.07687699612539073,-0.221792074320802,0.08773902387658199,0.25755023876484323,-0.3706022840054874,0.025078040563977125,-0.30631392357118686,0.2024497284311435
pedro,-1.2310618327044925e-05,3.0,-0.25324518688359965,0.034977577525256764,0.10597095627922788,-0.1504200078554758,0.11822126365331753,0.06522647248622271,-0.2743660690977009,0.19775636830408114,-0.10984354444972022,0.1698850747476198,0.11470137812881849,0.3666682741087171,0.4181158364481602,-0.4575544009076791,-0.09115961664674209,-0.3536887751006448,0.12272446931468171,0.21679429336257897
pedro,-0.001780899083207086,4.0,-0.13172306774501547,-0.18908633380876727,-0.30229300655139296,0.20607808154177745,0.009591095441715585,-0.023498406585119758,0.015966439442907657,-0.20946714111751855,0.060062435562963076,-0.29877084915959295,-0.07371944930223934,-0.18252223548589655,0.26764287709376,0.025193559218125165,-0.42135884213883923,-0.39153930567325085,-0.42013857487721934,0.23878858980781914
pedro,0.0010984309197752606,4.0,0.07775788915977899,-0.14870092533340568,-0.161911080358633,0.1765355912791236,-0.25761828268813347,-0.1699573403988223,0.20389374225209728,-0.3421484713856859,-0.5910671189775987,-0.16024145930020695,-0.22319922188570007,-0.32949612507815096,-0.02922489838131984,0.036192674640912616,0.07851662230898568,0.24837658331023296,0.1138919502673592,-0.21013424155526622
pedro,0.0004333680222870763,4.0,-0.44974926089897904,-0.324271142976686,-0.10680362389812231,0.26418636280974944,0.4235546507829097,0.26921407251765944,-0.2968696803874048,0.11459042712997419,0.08908774159166319,0.17858422215710074,-0.019882596800251652,0.10761846959936262,0.1105470679191094,-0.09869720103019144,-0.256696925356561,-0.08567346010592389,-0.28211182691952885,0.17789580376745695
xxx,0.0006807010026768982,1.0,-0.03468819592224738,0.3060019053034516,0.1382059719726514,0.06640133022937288,-0.12150144304186736,-0.18331002136165292,-0.05862317959208122,0.12737840069685696,-0.20308693083375115,-0.11195562259243738,-0.05798907336982451,0.17401852487959987,-0.1125659023130708,0.06681689909981038,0.7512687750106789,-0.23892560636527158,-0.28881910643006603,0.06447185508929675
xxx,0.0004215544483116727,1.0,-0.2585837633855574,-0.16345411417079425,-0.05543581183320492,0.10695356156432449,0.14199338019028096,0.11898039881976061,-0.8158086255901615,-0.08207739901608596,0.19759227082778222,0.00945111031318891,0.16498979638774353,0.05615715160141476,-0.05675459324056228,0.0616941167116331,-0.04545974850882505,-0.23926990815592522,0.1983248030732131,-0.10060908168800722
xxx,0.0020160817001347686,1.0,-0.31700726868733353,0.18624690783961162,-0.2556708613028429,0.026421680002765374,0.29758175124622815,-0.06578396348624982,-0.036131399967325194,0.15176317444386925,-0.06166126185902926,-0.08178058969801694,0.1320280602212847,0.06975795278024606,-0.205859331943721,-0.11243959295692546,-0.2471557777977072,-0.14878886248808013,0.32528648090961065,0.636151661647357
xxx,2.8204142180736205e-06,2.0,-0.3924878626010887,0.3078417543027948,-0.2780003446655351,0.0285707674307828,0.3656049601224688,-0.08088774378397696,-0.03678324666266848,0.26698196939153734,-0.16034280550449068,-0.10378050505028052,0.24127945885943364,0.1916915614589733,-0.17182597058651145,-0.22937451464609127,-0.24961889528241765,-0.19120598015823662,0.3826131334362825,0.037462730867560405
xxx,6.131263154658506e-05,3.0,-0.34596416815981307,0.36512940427352936,-0.15836435010838454,0.2584852524071409,0.30915355072768763,-0.1652879798080871,-0.3039414580793806,0.364136038773933,-0.2594658058135458,-0.24477703191147981,-0.06140683740999905,0.19528177700060279,-0.04487932132453276,-0.17565143493187563,-0.16640065745414362,0.0010112819546687377,0.230144772074083,0.15670178999773796
xxx,0.0038943039070169316,4.0,-0.4002703410818432,0.23827400921578445,-0.17258054300481004,0.04157279099257783,0.3875265747400851,-0.16575363599853765,0.19160951001644175,0.22417593962122115,-0.08541902691115864,-0.14974589565020002,0.16860287787952458,0.09765196503796661,-0.3312199569913801,0.04006141041259383,-0.32686130456941187,-0.20304273755768404,0.38660503264367335,-0.101753948282425
