Label,Adjective
0,2.8509051732364913e-06
0,0.0027915622067310403
0,0.0119319572912992
0,-0.0077506212661212
0,-0.0018379105737201483
0,-2.3073502854816456e-05
1,5.1898050308721554e-05
1,0.0022672898824448963
1,0.0162705915643371
1,-0.004338804725599
1,-0.001134819487201259
1,-0.0001247238967158
2,0.0007643419829583
2,0.0028144695438660997
2,0.0074687585229318
2,-0.0119298151156638
2,-0.0037747020514896
2,-0.000256061523003
3,0.0019102324195963
3,0.0019617120289204
3,0.0020131916382445
3,-0.0010550386073616
3,-0.0009164500310175499
3,-0.0007778614546735
4,0.0004190869314977
4,0.001591566235858825
4,0.0044218524531155
5,0.0006492406711111
5,0.0022515300792708
5,0.003222929021773
5,-0.0013798184692092
6,0.0003764357545111
6,0.0020303599581785333
6,0.0052061187484976
6,-0.0188981455073727
7,0.0003006235373276
7,0.00059085633277165
7,0.0008810891282157
7,-0.0033464042337468
7,-0.0028202258434227336
7,-0.00213771498134
