Username,Adjective,LogNumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
pedro,0.0011137205793286618,1.0,-0.06858811967616846,0.5244519722171292,-0.30998784242927,-0.47075560058811433,-0.027379304460094636,-0.08968173669008396,-0.09698321003748046,0.05828742592042625,-0.09205994581823836,0.22509175060757483,-0.05180922231129744,0.10744389833005814,-0.3381734347747445,-0.058253718041172166,0.4331989935968597,-0.03984822312062451,0.018041425112439603,-0.015737447283144676
pedro,-0.00457401144148215,1.0,0.09329974412043905,-0.3854023971157101,-0.1561544132100969,0.4444965677732792,-0.0574297755816783,0.1347743743302699,0.25133316998448935,-0.0873055654506152,-0.2551366270080432,-0.22320448796677445,0.09460774870495985,-0.10213818484994466,0.0681648103480068,0.20860378522258108,-0.5663851111523721,-0.08487135646475727,0.133024874644504,-0.01987962221239442
pedro,-0.00290406752549578,1.0,-0.2184657795268931,0.35920408147764815,-0.2596122607754605,-0.4768662456182915,0.04675337116345048,-0.3318833154599326,-0.3366667598249397,0.15447483258667546,-0.16290466002624787,0.30147717856329204,-0.11982294518029392,0.08835492486164312,-0.12092964138043098,-0.19793542351814225,0.027162342957497504,0.04776573372256086,-0.13879712157663934,0.2514534497885212
pedro,1.274355331822075e-05,1.0,-0.017890247695211848,0.0007731749094191942,0.05095253749063827,-0.003344590124009451,-0.02799878745494848,-0.004962950610193487,0.014896136051005392,-0.0420331528958407,0.050284437820040565,-0.02228222427881,0.04638995615521229,-0.045463975007838775,-0.044220371234287334,0.013903991171160965,-0.017678352798120845,0.6205182102441598,0.06729621660292727,0.7713610117536409
pedro,-0.00020750966010731078,1.0,0.023343111192708335,0.01705400919643907,0.015478783429138129,-0.018576241732150525,0.035254876390919156,0.00023189357369357753,0.04812360513700145,-0.06233829742324665,0.06919851749540219,0.3359287015263711,0.056572627765898366,-0.04485594544344563,-0.03495716307814489,0.03189392016671683,-0.0874656512615515,0.7877426037172818,0.014240319077610076,0.4874986957169644
pedro,0.0008511529996558426,1.0,0.017851422891622372,0.02542293070099122,-0.007095385634707322,-0.015577821921143997,-0.0004564055534145684,-0.0019406708415690892,0.02507444326920766,-0.006474700260552646,0.03863159982842366,0.8798818484203518,0.03151938057565636,-0.02391847608765035,-0.02775978370978681,0.014397289364137929,-0.06633647458828433,0.3423867741789141,0.01009363699386978,0.31322249557643683
xxx,0.0003534781023196204,1.0,-0.13146316397747052,0.1462995367116413,0.21738346652599802,-0.18672326551658913,-0.004667879074632123,0.029210452589913748,-0.44790968837592937,-0.001398616100789561,0.10340145408589958,0.14180479804686666,0.0022119490954450203,0.04358190636703929,0.3741319263911363,-0.055479149263294975,0.6920770998342368,-0.073097452538994,0.10239348403295032,-0.08448018481636775
xxx,1.4296616868831132e-07,1.0,0.0202722855352469,0.010383280700996034,-0.02289332940549177,0.001107283743519619,0.010832176291883648,0.02504441704420016,0.036819444711224635,-0.010893894551825805,-0.028223237440246126,0.47649413658522577,-0.026863222179947,-0.023838543927233773,-0.0007117016435947316,0.026541258738722782,0.025057713358332703,0.8523764067923563,-0.011821253715930544,0.19896167207180265
slasto,-0.0002546473967075833,1.0,0.07843601954997866,0.11729348212529822,-0.06450084546831776,-0.1212526454388855,0.010943347923844993,-0.1304989409980913,0.434719176621094,-0.04158627351526761,0.02782846401602958,0.008356265883922588,-0.027893846598713166,-0.18131607043072676,-0.0893060704922694,0.02289553966178471,-0.12251545443967346,0.826347206618586,0.11182840164872508,-0.002146429290069368
slasto,-9.142103520203452e-05,1.0,-0.02470826102969983,-0.04743214849762356,-0.02972844704432539,0.04739793428206731,-0.049757434258057676,0.9940248847661027,-0.05169982071538057,-0.0032587330529523935,-0.017131866244132196,-0.0005701784247295171,0.004370588029415944,0.000248894681426473,0.004756247296495142,-0.004966489005815828,-0.005943380214112831,-0.008544776016069556,-0.014533131988631832,-0.009206359841984622
