Username,Adjective,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
pedro,0.0006760621958299766,-0.30963311193023396,-0.005552708473579027,-0.3596124034694345,-0.3589940178322717,-0.18948923670113496,-0.18739948068437656,-0.25864569837255325,-0.11492795025515974,-0.24612544657217855,-0.029488743442283246,-0.32697732838634724,-0.014859614413129869,-0.35133367664408255,-0.19209842533153762,-0.012295254390857286,-0.26368129175506,-0.15243115932220974,-0.2700633910415207
pedro,2.0146488149748494e-05,-0.34565088501086744,-0.15678977146719186,-0.1873645997815629,-0.29031919256958083,-0.24024032332423942,-0.24667681712479095,-0.3083149701723036,-0.19482531311446316,-0.2249196243856298,-0.12762985644863903,-0.2527005946327627,-0.19576361184816102,-0.301097410046125,-0.27917972173302535,-0.18066179752223963,-0.19371974134738704,-0.22462370783712116,-0.16337018457669886
pedro,0.00017494537238504446,-0.34199003933248684,-0.23512411769160624,-0.023342296384583648,-0.23140024260271244,-0.36855324508407755,-0.16788948289133807,-0.1753122955070246,-0.3577026477366828,-0.09132798390509246,-0.28285964564278127,-0.10742338385369632,-0.3402662470821182,-0.3198961519074125,-0.17799047902732912,-0.24140920282792053,-0.15919773701680595,-0.09653283154442212,-0.0913138443097985
pedro,5.935149461417147e-05,-0.22421127022924578,-0.26683085452957656,-0.19270186846033216,-0.193916074284476,-0.26417141567436836,-0.2334350947041418,-0.24369531247649745,-0.2242617471817287,-0.273413650600598,-0.1983908900051216,-0.26912298275567514,-0.19425678918848563,-0.1407402152412091,-0.2565580783844203,-0.1385279088703694,-0.30644849179797656,-0.2762273489310997,-0.26556546694580285
pedro,1.4234449809737712e-05,-0.06754523492135434,-0.34297123419166153,-0.22518107059680934,-0.09883471528754009,-0.24190257897180378,-0.23876310344994986,-0.1158648484948179,-0.31317058243044016,-0.23794662545825893,-0.28921762786457517,-0.1533203649785296,-0.32208507099402167,-0.17746737769615567,-0.11762822174848869,-0.2318631751958914,-0.1985488969818871,-0.1460819014999997,-0.4036630487164317
pedro,4.8390895566993485e-05,-0.186290538835582,-0.3140305105614063,-0.31703228768999875,-0.14615090001173076,-0.10381491273910877,-0.20491143287797856,-0.26112480598627785,-0.11160527486411466,-0.24023781439790926,-0.33170292136428303,-0.3103723146347005,-0.09968750986156416,-0.06379577183532584,-0.30447243419513537,-0.2537572258160977,-0.19565409870069014,-0.30458609037524886,-0.2125419217500305
pedro,4.000172632562798e-05,-0.09333687521881198,-0.12765523722122285,-0.21018768546296496,-0.29351863519114707,-0.18252595334561258,-0.265070251080945,-0.053902226906371434,-0.352515052316931,-0.10301876053728296,-0.22873731382654156,-0.05037532634950299,-0.4098150216185649,-0.3743832359014017,-0.07227612156951439,-0.42819154729751135,-0.11486161510641824,-0.14730305902618282,-0.12986286882535866
pedro,-1.8194105952757553e-05,-0.1422835411015142,-0.07443055767996501,-0.039604690173507734,0.22809770756609032,0.13154287683447421,0.11202416167000996,0.12710611689339735,0.21207664885572938,0.05556878474589414,0.09646835729138331,0.4267526568130691,0.24552901777610855,-0.1080601618044419,-0.5078402129850917,-0.37616857006956456,-0.3260605441586847,0.11819053460060704,0.208496192188147
xxx,1.6916815357834928e-05,-0.2481783473285833,-0.1538764836861758,-0.16341203167087784,-0.3413313761102485,-0.20331890195717087,-0.3260841450114216,-0.3145911509677895,-0.21974678959818947,-0.1731225256518998,-0.192301001727031,-0.16955060391512833,-0.1538195316649608,-0.1395231013685116,-0.23654907713254988,-0.18247559436869568,-0.28338729629883874,-0.17677672270229597,-0.37007625233571595
xxx,0.00017214381611661746,-0.08219119960649227,-0.17737976350262807,-0.33551139700952454,-0.29828878616143567,-0.1109333255171435,-0.0801135568745997,-0.17743343563261882,-0.41574385334592523,-0.3367357630713534,-0.1697832361907575,-0.1457161052571095,-0.30772038604978064,-0.0714101233108451,-0.10067535847101503,-0.1242370086366819,-0.3530557450269312,-0.21473810462987883,-0.2785929774827111
xxx,4.598724342984938e-05,-0.07110873269637182,-0.12748693844205605,-0.40090579858659564,-0.2059076655354713,-0.12469005810849931,-0.17645519039278396,-0.11829782194003359,-0.3541035011195713,-0.3995558935784218,-0.10104618378116559,-0.35403485913362887,-0.40869612735611316,-0.2515982872408891,-0.058567517297402394,-0.10424707443387064,-0.10325481610945171,-0.162343092614422,-0.11249401199979893
xxx,0.00018832029283061808,-0.3073419365934744,-0.2937293878569217,-0.15681941627490165,-0.15815687864762118,-0.2905574916841825,-0.20348456101454981,-0.21770773789058315,-0.1197166901684248,-0.11576728978209913,-0.2823280997150384,-0.10399184777802961,-0.18872202022568726,-0.3312005811956702,-0.2551983956544322,-0.22981725810495524,-0.2735302309390048,-0.30721848352466335,-0.2138227229395667
xxx,0.00012156819710920549,-0.10759128338135876,-0.18854878415475274,-0.3309125012631203,-0.22750707909595988,-0.2403741339603988,-0.11049144119623154,-0.2713926127667496,-0.33747480645341527,-0.28078161873497315,-0.26697622892520934,-0.21032610731957213,-0.28992145728827695,-0.12071250553950981,-0.07630493925705623,-0.17588028468755268,-0.23591930957478444,-0.10586332724219599,-0.37078389942227274
xxx,1.983966197158063e-06,-0.11213393508313362,-0.3019207333699607,-0.32710338179810405,-0.05520169236621015,-0.21571965708465596,-0.1283405297720392,-0.22080238420908294,-0.3308480714975221,-0.31655235791694114,-0.3440021435551939,-0.3244253201624216,-0.3130954898031834,-0.1224193644590117,-0.09400957407052829,-0.22433126009449217,-0.16606946858709623,-0.10395085943415333,-0.17506710715451826
xxx,2.562710558868112e-05,-0.29069275268892325,-0.28062920219357534,-0.1265901215563124,-0.18471477362084107,-0.29381912754464157,-0.2276293333960523,-0.2223382217476945,-0.13737987255999118,-0.13109936207582112,-0.23953764801499614,-0.18397643752656626,-0.1224828585056135,-0.3035078969655735,-0.31974992501759963,-0.30248981474637177,-0.21704609114122508,-0.30230316883630787,-0.17994442243189293
xxx,-4.487533747129086e-05,-0.28234480941918766,-0.041864196458963804,-0.09463133331120593,-0.06832332389570274,-0.2794307446500093,-0.15634979356578627,0.21262812471558837,0.20138666189129856,-0.3084253385963293,0.16379923418013564,-0.1032737982241119,0.35589838514652944,0.12865298438975553,0.03701544847102152,-0.40742154999529895,-0.19786402347311013,0.05635471706519837,-0.48071397952443884
slasto,0.00025521846875617746,-0.09204098668990783,-0.058238760156734126,-0.3168938054075629,-0.3710773549556922,-0.16481480832064901,-0.16838956210941095,-0.03235143797311433,-0.26884239863969744,-0.12740930214178628,-0.19138831803499237,-0.3343639871504287,-0.16826455647461125,-0.4112776774254023,-0.07908982535568575,-0.3588488444929263,-0.08135643635528247,-0.025884381185876344,-0.3416636530849002
slasto,1.939038187040502e-05,-0.1100696309773657,-0.09441005874557262,-0.0650897237902499,-0.3986261372245484,-0.19164054486713444,-0.34777408075402216,-0.14579367628153894,-0.16761798913565903,-0.16211093021787432,-0.18112756480619316,-0.16690560615616068,-0.3064714253789309,-0.32910720241947006,-0.17561618540311738,-0.18558420816395862,-0.3713449155996881,-0.2352362186385559,-0.24720612627102723
slasto,-7.363064841519189e-06,-0.2692136451628302,0.21197581341593766,-0.19995627669644433,0.1336557737480883,-0.21894932954877805,0.0005703695330689231,-0.016558033146372594,-0.23799292296232583,0.17367809600963038,-0.1749354021831611,-0.0712828320393951,0.6313867587172933,-0.1619466639084566,-0.1829206298695479,0.39649475233958437,-0.17970312847841272,-0.029499133594958506,-0.07303983422787155
minestra,0.00047016982554872724,-0.06903758037070061,-0.21239348610299047,-0.3272146773117061,-0.30116813286243704,-0.16236439597923844,-0.23331722005355754,-0.02118275938663124,-0.31199696069861566,-0.2733378690961095,-0.13407225675819026,-0.2305343009601611,-0.25673288868216526,-0.33098925017070413,-0.30834756971954136,-0.22733610352818692,-0.25879003806548195,-0.12444891542662412,-0.15244922648769418
minestra,0.00010646826086451492,-0.27942982617033746,-0.3545099524408869,-0.23191351431864785,-0.08051575357933544,-0.17904786800455985,-0.20444009616992512,-0.11113497934102395,-0.3491370566186703,-0.19394967605628097,-0.17928501986034734,-0.2537272664630083,-0.21451791179991211,-0.2929349912672535,-0.23276509429733655,-0.21865692628336278,-0.33053607245663014,-0.06366371165995731,-0.21589319774548466
minestra,-0.0004185222184108729,-0.2553818911489975,-0.398404832575214,-0.07175191074531753,-0.055779505015799376,-0.22889086025955557,-0.20787857124197082,-0.2242573867344336,-0.35521864122519753,-0.042866877804294864,-0.19060107656180128,-0.15198164621221164,-0.23476789137965856,-0.135687893825158,-0.34368130553042625,-0.22978263940303037,-0.21545670512194415,-0.09021641498578957,-0.3680331263792948
minestra,1.9985932583688424e-05,-0.23431469704648414,-0.2588425123771617,-0.2770027958890837,-0.1882194780114407,-0.23336798474945125,-0.13012721076135148,-0.3292621246504299,-0.2627213682112328,-0.2122484608292239,-0.13470239596667546,-0.2692580790311228,-0.11323292482799706,-0.16434517608166924,-0.3027057012523408,-0.2747885212979894,-0.13191913759831864,-0.27154516648276766,-0.28862828198956353
minestra,7.611988110331797e-05,-0.29465901613815315,-0.19288707627668444,-0.21379477712718892,-0.2610593353243041,-0.20445282791063085,-0.3393506985653089,-0.15276187036094682,-0.14619012456030855,-0.3385793230382554,-0.24071080601207187,-0.21968822677752212,-0.28759908246638627,-0.38790611466756525,-0.14171299798450507,-0.06525656120163277,-0.13909818438545538,-0.2163661717008903,-0.1261518483591421
minestra,0.0012242233844851108,-0.17058437025904435,-0.03378887396760066,-0.17826916637478646,-0.39003015013414477,-0.3534659072121677,-0.27336757258034367,-0.15365572461183882,-0.11361246964185724,-0.30395633416243534,-0.24582576358284153,-0.25666494890101693,-0.2598647075362525,-0.29706420258024374,-0.1269483075875508,-0.08081284746563724,-0.2400281390917761,-0.2794655502081922,-0.12975155662831545
