Username,Adjective,LogNumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Label
pedro,-0.0011140846463616,1.0,0.0157168157617604,-0.0843952726298003,0.0723300644125479,0.2404063952913488,0.1567567396873696,-0.267189644212395,0.2358710257659613,-0.2247090029931823,-0.1199357291963219,0.2472553596253635,0.0351247169704371,-0.2292224392736255,-0.4811153785701743,-0.2343209965447902,0.2815613434321554,0.1656399362805049,0.3542918218367587,0.2821354521430809,-1
pedro,0.000733431177652,1.0,0.0080823916466966,-0.3037613424811033,-0.4219677236975296,0.3306677791479966,-0.1231733668781013,0.1017460314385326,0.2378396928721355,-0.2552953148620776,-0.1510439198901167,-0.2419735361105507,-0.0836499158753114,-0.2320303601561983,0.0873157425732069,0.2496970710763615,-0.36120120290684,0.0161483665244861,-0.2929598552937812,0.2104099691485042,-1
pedro,-1.2310618327044925e-05,3.0,-0.2532451868835996,0.0349775775252567,0.1059709562792278,-0.1504200078554758,0.1182212636533175,0.0652264724862227,-0.2743660690977009,0.1977563683040811,-0.1098435444497202,0.1698850747476198,0.1147013781288184,0.3666682741087171,0.4181158364481602,-0.4575544009076791,-0.091159616646742,-0.3536887751006448,0.1227244693146817,0.2167942933625789,-1
pedro,-0.0016758978413028,4.0,-0.1174301255204451,-0.1812590485827374,-0.3335263945826985,0.2091176745462778,-0.0057258495719139,0.0068434204084123,0.035030514270933,-0.2069418167058097,0.0420935017751698,-0.3152219000324091,-0.0802580855202855,-0.2065545177652322,0.2384416948095267,0.0490470892154213,-0.4244492629111043,-0.3684129362505629,-0.4209952792105025,0.22721884717558,-1
pedro,0.0007823134651539,4.0,0.0430827432394265,-0.1832659835805981,-0.1936259556447224,0.2102291029773683,-0.2308915939566407,-0.1440324730755165,0.1878066133001741,-0.342371211863005,-0.6099105357365565,-0.1516965252874604,-0.1741696722165911,-0.3382258518945706,-0.0197647251442766,0.0315422490131878,0.0568339785927809,0.2515663589990101,0.0951717563673634,-0.1990755227171655,-1
pedro,0.0004118017771008,4.0,-0.4495426866731998,-0.323613990072558,-0.1092076250029858,0.2637013837556939,0.4229824984502982,0.2677154680674604,-0.2938044488790213,0.1130625246436529,0.0892495876254155,0.1778486144683873,0.0126017942262471,0.108923552177366,0.1135918257082364,-0.0992583156094525,-0.2589380508013327,-0.0883607732811703,-0.2822112224776547,0.1820903184003602,-1
xxx,0.0006626324149687,1.0,-0.0350288127321408,0.3051462020345083,0.1381653212869584,0.0666871237250959,-0.1213517526233627,-0.1835681995333042,-0.060141376975514,0.1260985345736771,-0.2030734167225095,-0.1120061817291153,-0.0598186876807027,0.1726395458864975,-0.1127149182089739,0.0669871304374504,0.7515464915860685,-0.2397309478327048,-0.2887901346900745,0.0642571364169127,-1
xxx,0.0002886774795336,1.0,-0.2222529469273866,-0.2011386228932817,-0.0217070145750759,0.1079921118208031,0.1008115895539904,0.1281995706964979,-0.8372871495426029,-0.1229952381776882,0.2112667997102684,0.0166848445416204,0.1223430450469446,0.0243932830783285,-0.0404266358366407,0.0618407027271305,-0.0156796377249042,-0.2284027128040192,0.1562988765830813,-0.111629804458192,-1
xxx,0.0001600382429042,1.0,-0.3211699551241696,0.1879772435093872,-0.2608321653623718,0.0269637613965991,0.303361740447896,-0.067028343536343,-0.0432814748139009,0.1520643100074046,-0.061730460806788,-0.082180554856436,0.1340527931353962,0.0711087100329086,-0.2102390684343247,-0.1034296414493149,-0.2505372839871064,-0.1507254276809944,0.3319605711156457,0.6221430800788157,-1
xxx,2.8204142180736205e-06,2.0,-0.3924878626010887,0.3078417543027948,-0.2780003446655351,0.0285707674307828,0.3656049601224688,-0.0808877437839769,-0.0367832466626684,0.2669819693915373,-0.1603428055044906,-0.1037805050502805,0.2412794588594336,0.1916915614589733,-0.1718259705865114,-0.2293745146460912,-0.2496188952824176,-0.1912059801582366,0.3826131334362825,0.0374627308675604,-1
xxx,0.0044966984532649,3.0,-0.4309872810973309,0.1741424076111583,-0.3109050850249234,0.0212418943789947,0.3460273236895592,-0.2972472278377894,-0.0837603625762574,0.1293829592091929,-0.1081520081385132,-0.0938601968360406,0.1082605471882133,0.1013011786019646,-0.3110950671614085,-0.0063132936835948,-0.2760548594614226,-0.3121004292206685,0.3694049970924462,-0.0747177473336981,-1
xxx,-0.0045476566459813,3.0,0.1893374084926549,-0.2069416676104235,0.1617846641993787,0.1176125045478025,-0.2377680285689478,0.0751049077125531,0.1253209881150289,-0.3499044392339181,0.0404795046277421,0.3535400291102896,0.3755766213163439,-0.3633654952342436,-0.1247795551751805,0.3359548475001865,0.0882605586463296,0.3322105706862789,-0.177302471663958,-0.0570936681825642,-1
xxx,0.0009852412041722,3.0,0.3085281772818457,-0.3698196651561838,0.112093496714887,-0.3490849319038576,-0.2683841850198369,0.1596341714263849,0.3536942038369396,-0.3592446237570421,0.2989071633909681,0.2186024261032567,0.052687218432567,-0.1563808562858126,0.0030462715057798,0.1676416257536526,0.1209678480568943,-0.1060590495283102,-0.168816443782301,-0.187328459653869,-1
xxx,0.0045153240229385,4.0,-0.3933386025118225,0.2679698833790783,-0.1415826249099235,0.043917575261907,0.3797376591982895,-0.1412309171082361,0.2098466471209241,0.2482183663218093,-0.0861548398906043,-0.1624070489218189,0.1740987177750503,0.1059071978038283,-0.3321037703813111,0.0504810642568057,-0.3204433641134065,-0.185077618214631,0.3799020237867683,-0.1108051424138824,-1
xxx,0.0049804962264496,4.0,0.3360432043200747,0.2596425620532201,0.4978625260725277,0.0519621861287622,-0.1827167709729285,-0.0896599756456425,-0.0365600152064579,0.2476441992324011,0.1523398469498695,-0.0724324097631707,0.2086681605520443,0.1121560589102611,0.0434059877932031,0.1950275910255045,-0.0290571399435668,0.5547352540926369,-0.159495230987712,-0.0805951140064062,-1
