Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,ladderActivity,0.3,quantile,1,1
pedro,ladderActivity,0.3,quantile,2,1
pedro,ladderActivity,0.3,quantile,3,2
xxx,ladderActivity,0.3,quantile,1,4
xxx,ladderActivity,0.3,quantile,2,3
xxx,ladderActivity,0.3,quantile,3,2
slasto,ladderActivity,0.3,quantile,2,4
slasto,ladderActivity,0.3,quantile,3,4
slasto,ladderActivity,0.3,quantile,5,3
minestra,ladderActivity,0.3,quantile,1,6
minestra,ladderActivity,0.3,quantile,2,3
minestra,ladderActivity,0.3,quantile,3,1
dan,ladderActivity,0.3,quantile,1,1
dan,ladderActivity,0.3,quantile,2,1
dan,ladderActivity,0.3,quantile,3,2
pabluccio,ladderActivity,0.3,quantile,1,5
pabluccio,ladderActivity,0.3,quantile,2,4
pabluccio,ladderActivity,0.3,quantile,3,3
SADAX,ladderActivity,0.3,quantile,1,3
SADAX,ladderActivity,0.3,quantile,2,4
SADAX,ladderActivity,0.3,quantile,3,3
Pa0l0l0,ladderActivity,0.3,quantile,1,1
Pa0l0l0,ladderActivity,0.3,quantile,2,3
Pa0l0l0,ladderActivity,0.3,quantile,3,1
Pa0l0l0,ladderActivity,0.3,quantile,4,1
Pa0l0l0,ladderActivity,0.3,quantile,5,3
peppe,ladderActivity,0.3,quantile,1,16
peppe,ladderActivity,0.3,quantile,2,4
peppe,ladderActivity,0.3,quantile,3,1
bigw,ladderActivity,0.3,quantile,1,3
bigw,ladderActivity,0.3,quantile,3,5
bigw,ladderActivity,0.3,quantile,4,2
qwe,ladderActivity,0.3,quantile,2,2
qwe,ladderActivity,0.3,quantile,3,3
qwe,ladderActivity,0.3,quantile,5,1
ocran,ladderActivity,0.3,quantile,1,1
ocran,ladderActivity,0.3,quantile,2,1
ocran,ladderActivity,0.3,quantile,3,3
