Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,ladderActivity,0.3,standard,1,36
pedro,ladderActivity,0.3,standard,2,27
pedro,ladderActivity,0.3,standard,3,32
dan,ladderActivity,0.3,standard,1,58
dan,ladderActivity,0.3,standard,2,50
dan,ladderActivity,0.3,standard,3,54
peppe,ladderActivity,0.3,standard,1,14
peppe,ladderActivity,0.3,standard,2,27
peppe,ladderActivity,0.3,standard,3,5
bigw,ladderActivity,0.3,standard,1,19
bigw,ladderActivity,0.3,standard,3,19
bigw,ladderActivity,0.3,standard,4,26
qwe,ladderActivity,0.3,standard,2,18
qwe,ladderActivity,0.3,standard,3,25
qwe,ladderActivity,0.3,standard,5,35
