Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,sphereActivity,0.3,standard,1,12
pedro,sphereActivity,0.3,standard,3,11
pedro,sphereActivity,0.3,standard,4,28
dan,sphereActivity,0.3,standard,1,29
dan,sphereActivity,0.3,standard,2,15
dan,sphereActivity,0.3,standard,3,12
dan,sphereActivity,0.3,standard,4,16
dan,sphereActivity,0.3,standard,5,30
peppe,sphereActivity,0.3,standard,1,35
peppe,sphereActivity,0.3,standard,2,25
peppe,sphereActivity,0.3,standard,3,5
bigw,sphereActivity,0.3,standard,1,33
bigw,sphereActivity,0.3,standard,2,7
bigw,sphereActivity,0.3,standard,3,23
bigw,sphereActivity,0.3,standard,4,22
bigw,sphereActivity,0.3,standard,5,14
bigw,sphereActivity,0.3,standard,7,20
qwe,sphereActivity,0.3,standard,1,35
qwe,sphereActivity,0.3,standard,2,33
qwe,sphereActivity,0.3,standard,3,26
qwe,sphereActivity,0.3,standard,4,51
qwe,sphereActivity,0.3,standard,6,24
