,"(0, 0.0)","(0, 0.0021)","(0, 0.0167)","(0, -0.0023)","(0, -0.0006)","(0, -0.0)","(-1, None)"
"(0, 0.0)",0.36507936507936506,0.2222222222222222,0.07936507936507936,0.0,0.031746031746031744,0.06349206349206349,0.23809523809523808
"(0, 0.0021)",0.17073170731707318,0.4146341463414634,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.0975609756097561,0.21951219512195122
"(0, 0.0167)",0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0
"(0, -0.0023)",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(0, -0.0006)",0.5,0.25,0.0,0.0,0.0,0.25,0.0
"(0, -0.0)",0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.0,0.45454545454545453
"(-1, None)",0.35185185185185186,0.14814814814814814,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.037037037037037035,0.35185185185185186
