State,Initial_Probability
"(0, 0.0)",0.4864864864864865
"(0, 0.0021)",0.08108108108108109
"(0, 0.0167)",0.0
"(0, -0.0023)",0.0
"(0, -0.0006)",0.05405405405405406
"(0, -0.0)",0.05405405405405406
"(-1, None)",0.32432432432432434
