Label,Adjective
0,4.882845984418525e-05
0,0.010962895302773086
0,0.0700283779452685
0,-0.0032507104806114
0,-0.0012454844156791574
0,-0.0001671231523874
1,1.814289864204423e-05
1,0.024693286140483172
1,0.3310409252866744
1,-0.1939400768182405
1,-0.021480217585725637
1,-9.182883398265056e-05
2,0.0001743014488353
2,0.010437632955132241
2,0.1020250174742204
2,-0.0159098858024783
2,-0.004846945184741361
2,-0.0004039537909403
3,0.0006666204625905
3,0.00436414892024468
3,0.0108629459070773
3,-0.0019238379730673
4,0.0007021400121596
4,0.00407889432647635
4,0.0095940323849916
4,-0.0058463198055292
5,0.0013522210225991
5,0.0021714614679196
5,0.0028728105796016
6,8.199379353898028e-05
6,0.00047579965010789504
6,0.0015842184664649
7,0.0005167063604433
7,0.022854987475333502
7,0.1469776261992467
7,-0.0117351981873069
7,-0.0054435383026142
7,-0.0007304621082809
8,0.000203964855506
8,0.018390954771195896
8,0.1592783951486374
9,0.0007994687552916
9,0.0063964968523885
9,0.0249385899624708
9,-0.0005717676705944
10,0.0002063828131419
10,0.004775854564490051
10,0.0081592057634406
10,-9.46785337701309e-06
11,0.0007214867731123
11,0.003021981837275975
11,0.0050055120475163
11,-0.000972457649506
12,0.0006212448917966
12,0.00125637993765396
12,0.0017582606434114
12,-0.0253983607325604
13,0.0013933630753629
13,0.01233912780416962
13,0.0180050455578337
