State,Initial_Probability
"(0, 0.0002)",0.0
"(0, 0.0105)",0.0
"(0, 0.0627)",0.022727272727272728
"(0, -0.2843)",0.0
"(0, -0.1477)",0.0
"(0, -0.0111)",0.0
"(1, 0.0)",0.045454545454545456
"(1, 0.0171)",0.022727272727272728
"(1, 0.2235)",0.0
"(1, -0.1577)",0.022727272727272728
"(1, -0.0453)",0.0
"(1, -0.0017)",0.0
"(2, 0.0014)",0.0
"(2, 0.0078)",0.0
"(2, 0.0345)",0.0
"(2, -0.0242)",0.0
"(2, -0.0121)",0.0
"(2, -0.0)",0.0
"(3, 0.0)",0.045454545454545456
"(3, 0.003)",0.06818181818181818
"(3, 0.0139)",0.0
"(3, -0.0009)",0.022727272727272728
"(3, -0.0005)",0.0
"(3, -0.0002)",0.0
"(4, 0.0002)",0.0
"(4, 0.0231)",0.0
"(4, 0.1591)",0.0
"(4, -0.0191)",0.0
"(4, -0.0114)",0.0
"(4, -0.0037)",0.0
"(5, 0.0)",0.0
"(5, 0.0028)",0.0
"(5, 0.012)",0.0
"(5, -0.0046)",0.0
"(5, -0.0022)",0.0
"(5, -0.0002)",0.0
"(6, 0.0003)",0.045454545454545456
"(6, 0.0034)",0.022727272727272728
"(6, 0.0097)",0.0
"(6, -0.0008)",0.0
"(6, -0.0004)",0.0
"(6, -0.0)",0.0
"(7, 0.0001)",0.0
"(7, 0.0049)",0.0
"(7, 0.0233)",0.0
"(7, -0.0016)",0.0
"(7, -0.0007)",0.0
"(7, -0.0)",0.0
"(8, 0.0004)",0.0
"(8, 0.061)",0.0
"(8, 0.2641)",0.0
"(9, 0.0)",0.09090909090909091
"(9, 0.0055)",0.045454545454545456
"(9, 0.0431)",0.0
"(9, -0.0112)",0.0
"(9, -0.0017)",0.0
"(9, -0.0)",0.0
"(10, 0.0001)",0.0
"(10, 0.0023)",0.0
"(10, 0.0049)",0.0
"(-1, None)",0.5454545454545454
