Label,1,2,3,4,5,6,7,8,9
7,-0.24165941955042597,0.47856904784269866,0.15222603209589483,-0.013633321310883052,-0.3860672349598333,0.09848147369798231,0.09589406753473442,0.45476344972379834,-0.2419487885035026
0,0.011913071336256307,0.2697826274900087,-0.24809215631594192,-0.12677335253658742,0.275456479595159,-0.26424607938573647,-0.136440346318093,0.13492810825922627,-0.04331030245635765
1,-0.09041272391561843,-0.3085478249192103,0.13650442042046182,0.21527107489545994,-0.2937133535099985,0.05105220550080826,0.24851807432019893,-0.22083622956204704,-0.01242964755225584
2,-0.28326343555625,-0.1253832487494315,-0.3135121445692583,0.1550845869107635,-0.04553095011299654,0.058472975176177895,-0.29354439335306337,-0.10981504944139737,0.33903713513023087
3,0.07776803714499615,-0.12139658729571008,-0.3454531410881308,-0.4071762063199673,0.010634569224023019,0.24411075061540022,0.6264193060208596,-0.18307623821755611,-0.19023071504482825
13,-0.26884912774286585,-0.3065175704502,-0.15366540797094283,0.3402419749362475,-0.37228248855850377,0.11288539812447278,-0.030311246663849056,0.5340344068039016,-0.2682816302744252
9,0.5536458701745857,0.31547400918089785,-0.43132480439304616,-0.15002601575522445,0.13703363798989968,0.03766648910963882,-0.20273325384476937,0.055729034260458866,0.25267911209695987
12,-0.6049410009211432,0.08507482813522299,-0.23268887414793582,0.28831287355682306,0.4029295651513147,0.08672823572165052,0.1380948617588207,0.24977019577451784,-0.10686371385571142
4,-0.24890540492506236,-0.5230040700911239,-0.14932277370143007,-0.24779530981920805,-0.3835329120080732,0.10530173626703336,0.12489139439345029,0.47315386206301274,0.0015865688974537003
8,-0.1669237412293554,-0.13366243460111807,0.6798183051830072,-0.18178064227648758,0.10494642242347868,0.1006730702117623,-0.2580213892236125,-0.1690137026741588,-0.15656754618434257
6,0.57396534093707,-0.3133688086678588,0.19984544912115793,-0.19776346980560727,-0.1699732804986184,0.19846123973078494,-0.0922643623128253,-0.3409098427160327,0.20649628390536615
5,-0.12446287881681613,0.1964333414610684,-0.0568389127037219,-0.012754197121586302,0.4460219358173535,-0.23783946690588695,-0.0772535714923604,-0.09011508105679869,0.7212431079193149
10,-0.27382892985925367,0.22270957877218298,-0.23630502193862868,-0.22349229692786138,0.2492262686210735,0.1825633209957959,0.6894159812354462,0.06552363811539152,-0.14265197033753857
11,-0.6060922696152335,-0.37996472868283976,0.22995960005451738,0.4580662444787116,0.12779883729480948,0.20730780613375327,0.13442459496331796,0.019903572231000484,-0.267463009053625
