Target_Activity,TestActivity,mode,Threshold,K,N,GhostCount,L,pmin,gamma_min,eps_suffix,Predict,Actual,Matched,GhostRatio
ladderActivity,ladderActivity,suffix_tree,0.7,5,9,3,4.0,1e-05,0.0,0.0,1,1,True,0.3333333333333333
ladderActivity,ladderActivity,suffix_tree,0.7,5,7,5,6.0,1e-06,1e-06,0.0,0,1,False,0.7142857142857143
ladderActivity,ladderActivity,suffix_tree,0.7,5,1,1,8.0,1e-06,0.0,0.0,0,1,False,1.0
ladderActivity,ladderActivity,suffix_tree,0.7,5,6,1,2.0,0.0001,0.0,0.0,1,1,True,0.1666666666666666
ladderActivity,ladderActivity,suffix_tree,0.7,5,2,0,6.0,1e-05,0.0001,0.0,1,1,True,0.0
ladderActivity,ladderActivity,suffix_tree,0.7,5,4,3,4.0,0.0001,0.0,0.0,0,1,False,0.75
ladderActivity,ladderActivity,suffix_tree,0.7,5,4,4,6.0,1e-05,1e-06,0.0,0,1,False,1.0
ladderActivity,ladderActivity,suffix_tree,0.7,5,2,0,6.0,0.0001,1e-06,0.0,1,1,True,0.0
ladderActivity,ladderActivity,suffix_tree,0.7,5,6,1,4.0,1e-06,1e-06,0.0,1,1,True,0.1666666666666666
ladderActivity,ladderActivity,suffix_tree,0.7,5,14,4,4.0,1e-06,0.0,0.0,1,1,True,0.2857142857142857
ladderActivity,ladderActivity,suffix_tree,0.7,6,9,2,4.0,1e-05,0.0,0.0,1,1,True,0.2222222222222222
ladderActivity,ladderActivity,suffix_tree,0.7,6,7,2,6.0,1e-06,1e-06,0.0,1,1,True,0.2857142857142857
ladderActivity,ladderActivity,suffix_tree,0.7,6,1,0,8.0,1e-06,0.0,0.0,0,1,False,0.0
ladderActivity,ladderActivity,suffix_tree,0.7,6,6,1,2.0,0.0001,0.0,0.0,1,1,True,0.1666666666666666
ladderActivity,ladderActivity,suffix_tree,0.7,6,2,1,6.0,1e-05,0.0001,0.0,1,1,True,0.5
ladderActivity,ladderActivity,suffix_tree,0.7,6,4,2,4.0,0.0001,0.0,0.0,1,1,True,0.5
ladderActivity,ladderActivity,suffix_tree,0.7,6,4,3,6.0,1e-05,1e-06,0.0,0,1,False,0.75
