Target_Activity,TestActivity,mode,Threshold,K,N,GhostCount,L,pmin,gamma_min,eps_suffix,Predict,Actual,Matched,GhostRatio
ladderActivity,sphereActivity,markov,0.6,5,7,6,,,,,0,0,True,0.8571428571428571
ladderActivity,sphereActivity,markov,0.6,5,5,2,,,,,0,0,True,0.4
ladderActivity,sphereActivity,markov,0.6,5,4,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.6,5,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.6,5,5,1,,,,,0,0,True,0.2
ladderActivity,sphereActivity,markov,0.6,5,7,3,,,,,0,0,True,0.4285714285714285
ladderActivity,sphereActivity,markov,0.6,5,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.6,6,8,3,,,,,1,0,False,0.375
ladderActivity,sphereActivity,markov,0.6,6,5,2,,,,,0,0,True,0.4
ladderActivity,sphereActivity,markov,0.6,6,6,3,,,,,0,0,True,0.5
ladderActivity,sphereActivity,markov,0.6,6,7,4,,,,,0,0,True,0.5714285714285714
ladderActivity,sphereActivity,markov,0.6,6,5,2,,,,,0,0,True,0.4
ladderActivity,sphereActivity,markov,0.6,6,4,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.6,6,5,3,,,,,0,0,True,0.6
ladderActivity,sphereActivity,markov,0.6,6,5,1,,,,,0,0,True,0.2
ladderActivity,sphereActivity,markov,0.6,6,7,2,,,,,0,0,True,0.2857142857142857
ladderActivity,sphereActivity,markov,0.6,6,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.6,7,8,4,,,,,1,0,False,0.5
ladderActivity,sphereActivity,markov,0.6,7,5,5,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.6,7,6,6,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.6,7,7,7,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.6,7,5,2,,,,,0,0,True,0.4
ladderActivity,sphereActivity,markov,0.6,7,4,1,,,,,0,0,True,0.25
ladderActivity,sphereActivity,markov,0.6,7,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.6,7,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.6,7,7,3,,,,,0,0,True,0.4285714285714285
ladderActivity,sphereActivity,markov,0.6,7,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.6,8,8,3,,,,,1,0,False,0.375
ladderActivity,sphereActivity,markov,0.6,8,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.6,8,6,4,,,,,0,0,True,0.6666666666666666
ladderActivity,sphereActivity,markov,0.6,8,7,5,,,,,0,0,True,0.7142857142857143
ladderActivity,sphereActivity,markov,0.6,8,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.6,8,4,2,,,,,1,0,False,0.5
ladderActivity,sphereActivity,markov,0.6,8,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.6,8,5,3,,,,,0,0,True,0.6
ladderActivity,sphereActivity,markov,0.6,8,7,4,,,,,0,0,True,0.5714285714285714
ladderActivity,sphereActivity,markov,0.6,8,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.6,9,8,7,,,,,0,0,True,0.875
ladderActivity,sphereActivity,markov,0.6,9,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.6,9,6,3,,,,,1,0,False,0.5
ladderActivity,sphereActivity,markov,0.6,9,7,6,,,,,0,0,True,0.8571428571428571
ladderActivity,sphereActivity,markov,0.6,9,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.6,9,4,2,,,,,0,0,True,0.5
ladderActivity,sphereActivity,markov,0.6,9,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.6,9,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.6,9,7,3,,,,,1,0,False,0.4285714285714285
ladderActivity,sphereActivity,markov,0.6,9,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.6,10,8,7,,,,,0,0,True,0.875
ladderActivity,sphereActivity,markov,0.6,10,5,5,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.6,10,6,5,,,,,0,0,True,0.8333333333333334
ladderActivity,sphereActivity,markov,0.6,10,7,6,,,,,0,0,True,0.8571428571428571
ladderActivity,sphereActivity,markov,0.6,10,5,2,,,,,0,0,True,0.4
ladderActivity,sphereActivity,markov,0.6,10,4,2,,,,,0,0,True,0.5
ladderActivity,sphereActivity,markov,0.6,10,5,3,,,,,0,0,True,0.6
ladderActivity,sphereActivity,markov,0.6,10,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.6,10,7,6,,,,,0,0,True,0.8571428571428571
ladderActivity,sphereActivity,markov,0.6,10,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.7,5,6,6,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,5,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.7,5,1,1,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,5,5,5,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,5,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,5,2,2,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,5,5,2,,,,,1,0,False,0.4
ladderActivity,sphereActivity,markov,0.7,5,4,3,,,,,0,0,True,0.75
ladderActivity,sphereActivity,markov,0.7,5,4,3,,,,,0,0,True,0.75
ladderActivity,sphereActivity,markov,0.7,5,3,2,,,,,1,0,False,0.6666666666666666
ladderActivity,sphereActivity,markov,0.7,6,6,6,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,6,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.7,6,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.7,6,5,5,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,6,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,6,2,2,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,6,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,6,4,2,,,,,1,0,False,0.5
ladderActivity,sphereActivity,markov,0.7,6,4,1,,,,,0,0,True,0.25
ladderActivity,sphereActivity,markov,0.7,6,3,2,,,,,1,0,False,0.6666666666666666
ladderActivity,sphereActivity,markov,0.7,7,6,6,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,7,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.7,7,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.7,7,5,5,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,7,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,7,2,2,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,7,5,3,,,,,0,0,True,0.6
ladderActivity,sphereActivity,markov,0.7,7,4,4,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,7,4,3,,,,,0,0,True,0.75
ladderActivity,sphereActivity,markov,0.7,7,3,3,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,8,6,6,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,8,1,1,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,8,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.7,8,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,8,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,8,2,2,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,8,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,8,4,3,,,,,0,0,True,0.75
ladderActivity,sphereActivity,markov,0.7,8,4,1,,,,,0,0,True,0.25
ladderActivity,sphereActivity,markov,0.7,8,3,2,,,,,0,0,True,0.6666666666666666
ladderActivity,sphereActivity,markov,0.7,9,6,6,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,9,1,1,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,9,1,0,,,,,0,0,True,0.0
ladderActivity,sphereActivity,markov,0.7,9,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,9,5,5,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,9,2,2,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,9,5,5,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,9,4,4,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,9,4,3,,,,,0,0,True,0.75
ladderActivity,sphereActivity,markov,0.7,9,3,3,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,10,6,6,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,10,1,1,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,10,1,1,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,10,5,5,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,10,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,10,2,2,,,,,0,0,True,1.0
ladderActivity,sphereActivity,markov,0.7,10,5,4,,,,,0,0,True,0.8
ladderActivity,sphereActivity,markov,0.7,10,4,3,,,,,0,0,True,0.75
ladderActivity,sphereActivity,markov,0.7,10,4,2,,,,,0,0,True,0.5
ladderActivity,sphereActivity,markov,0.7,10,3,3,,,,,0,0,True,1.0
ladderActivity,ladderActivity,markov,0.5,5,9,3,,,,,0,1,False,0.3333333333333333
