Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,sphereActivity,0.5,quantile,1,1
pedro,sphereActivity,0.5,quantile,3,1
pedro,sphereActivity,0.5,quantile,4,1
xxx,sphereActivity,0.5,quantile,1,1
xxx,sphereActivity,0.5,quantile,2,1
xxx,sphereActivity,0.5,quantile,3,1
xxx,sphereActivity,0.5,quantile,4,1
xxx,sphereActivity,0.5,quantile,5,1
xxx,sphereActivity,0.5,quantile,6,1
slasto,sphereActivity,0.5,quantile,2,1
slasto,sphereActivity,0.5,quantile,3,1
slasto,sphereActivity,0.5,quantile,4,1
slasto,sphereActivity,0.5,quantile,6,1
slasto,sphereActivity,0.5,quantile,7,1
slasto,sphereActivity,0.5,quantile,8,1
minestra,sphereActivity,0.5,quantile,1,1
minestra,sphereActivity,0.5,quantile,2,1
minestra,sphereActivity,0.5,quantile,3,1
minestra,sphereActivity,0.5,quantile,4,1
minestra,sphereActivity,0.5,quantile,5,1
minestra,sphereActivity,0.5,quantile,6,1
dan,sphereActivity,0.5,quantile,1,1
dan,sphereActivity,0.5,quantile,2,1
dan,sphereActivity,0.5,quantile,3,1
dan,sphereActivity,0.5,quantile,4,1
dan,sphereActivity,0.5,quantile,5,1
pabluccio,sphereActivity,0.5,quantile,1,1
pabluccio,sphereActivity,0.5,quantile,2,1
pabluccio,sphereActivity,0.5,quantile,3,1
pabluccio,sphereActivity,0.5,quantile,4,1
SADAX,sphereActivity,0.5,quantile,1,1
SADAX,sphereActivity,0.5,quantile,2,1
SADAX,sphereActivity,0.5,quantile,3,1
Pa0l0l0,sphereActivity,0.5,quantile,1,1
Pa0l0l0,sphereActivity,0.5,quantile,2,1
Pa0l0l0,sphereActivity,0.5,quantile,3,1
Pa0l0l0,sphereActivity,0.5,quantile,4,1
Pa0l0l0,sphereActivity,0.5,quantile,5,1
Pa0l0l0,sphereActivity,0.5,quantile,6,1
peppe,sphereActivity,0.5,quantile,1,1
peppe,sphereActivity,0.5,quantile,2,1
peppe,sphereActivity,0.5,quantile,3,1
bigw,sphereActivity,0.5,quantile,1,1
bigw,sphereActivity,0.5,quantile,2,1
bigw,sphereActivity,0.5,quantile,3,1
bigw,sphereActivity,0.5,quantile,4,1
bigw,sphereActivity,0.5,quantile,5,1
bigw,sphereActivity,0.5,quantile,7,1
qwe,sphereActivity,0.5,quantile,1,1
qwe,sphereActivity,0.5,quantile,2,1
qwe,sphereActivity,0.5,quantile,3,1
qwe,sphereActivity,0.5,quantile,4,1
qwe,sphereActivity,0.5,quantile,6,1
ocran,sphereActivity,0.5,quantile,1,1
ocran,sphereActivity,0.5,quantile,2,1
ocran,sphereActivity,0.5,quantile,3,1
