Label,1,2,3,4,5,6,7,8,9
2,-0.502479957285772,-0.26086676511186413,-0.3848668779611802,-0.21688507461478043,0.19629715532174258,-0.09223039736496302,-0.15885664033164298,0.4513302067001505,0.021388358190066688
0,-0.22998260559470213,-0.11763140148506292,-0.12861727098842232,0.7142168374199638,0.15189611524248886,0.013117919291908623,-0.12928451399455232,0.13702998847860123,0.06363621188825881
1,-0.05154809073942589,-0.13427029360696624,-0.04832861084790725,0.12164335398402211,0.07620404315816175,-0.025727243815640434,0.6986206228107088,0.04934511767134079,-0.04777930014863
4,-0.43572935314847,-0.024652011591314596,0.5721632975307728,-0.17644207152544986,0.18290430429082005,0.006050808046721976,-0.08867447287761113,0.2968016894827826,0.27086442018553236
6,0.3692414704537769,0.14776141417304378,-0.07685572400374596,0.520495290984689,-0.3960930612246929,0.32690256797982015,-0.10562132231285193,0.19285864881624007,-0.26418854596263547
9,0.23745845067536317,0.3801331613906154,0.0022079970790333473,-0.19849306995406613,-0.11206127111463086,0.3102612407031054,-0.14796096694618385,0.37825102068408817,-0.32105528790900584
5,-0.4723867939554624,-0.22212884462636448,-0.14250020179760073,-0.29025404889143636,0.527845908105225,-0.10467320257951082,-0.1774949680767617,-0.20424133023840985,-0.12179635856994755
3,0.3304503915151306,0.4340907450941674,-0.08524955136199754,-0.20078220037472227,-0.24232532197963697,-0.6079361467745906,-0.14951750209668024,0.12041011647574366,-0.06429976380502235
10,-0.35352062686735436,0.06873777640000632,0.42599892368593384,-0.18799053938258212,0.20790853999853187,-0.08259684024409976,-0.2685657541929177,-0.38514779685851647,0.4727134434500613
7,0.18132108949836903,-0.23832056982210728,0.23453348547371483,-0.29841097374411785,0.20847363051000864,-0.07066401165008612,-0.2711850890826416,-0.546349213925779,0.27066931976533654
8,-0.8474449240319104,-0.12214896310590825,0.07297500811184326,-0.10141779369802295,0.14999172701153116,-0.09784291032979385,-0.10222904252260775,-0.18854849488312264,0.25127106343616057
