State,Initial_Probability
"(0, 0.0004)",0.11607142857142858
"(0, 0.0021)",0.11607142857142858
"(0, -0.0025)",0.03571428571428571
"(0, -0.0001)",0.05357142857142857
"(1, 0.0006)",0.23214285714285715
"(1, 0.003)",0.26785714285714285
"(1, -0.0015)",0.008928571428571428
"(1, -0.0002)",0.026785714285714284
"(2, 0.001)",0.0
"(2, 0.0013)",0.0
"(2, -0.0003)",0.008928571428571428
"(2, -0.0002)",0.0
"(3, 0.0)",0.0
"(3, 0.0001)",0.0
"(3, -0.0024)",0.0
"(4, 0.0012)",0.0
"(4, -0.0013)",0.008928571428571428
"(4, -0.0013)",0.008928571428571428
"(5, 0.0011)",0.0
"(5, 0.0015)",0.026785714285714284
"(-1, None)",0.08928571428571429
