State,Initial_Probability
"(0, 0.0001)",0.08333333333333333
"(0, 0.004)",0.2916666666666667
"(0, 0.0301)",0.0
"(0, -0.0161)",0.013888888888888888
"(0, -0.0025)",0.0
"(0, -0.0)",0.0
"(1, 0.0)",0.05555555555555555
"(1, 0.0076)",0.0
"(1, 0.0797)",0.0
"(1, -0.6055)",0.0
"(1, -0.0315)",0.0
"(1, -0.0)",0.1111111111111111
"(2, 0.0001)",0.0
"(2, 0.0051)",0.0
"(2, 0.0253)",0.0
"(2, -0.025)",0.0
"(3, 0.0001)",0.027777777777777776
"(3, 0.0448)",0.0
"(3, 0.4634)",0.0
"(3, -0.0237)",0.0
"(3, -0.0065)",0.0
"(3, -0.0002)",0.0
"(4, 0.0008)",0.013888888888888888
"(4, 0.0078)",0.0
"(4, 0.0196)",0.0
"(4, -0.0017)",0.0
"(4, -0.0009)",0.0
"(4, -0.0001)",0.013888888888888888
"(5, 0.0001)",0.0
"(5, 0.0317)",0.0
"(5, 0.1739)",0.0
"(5, -0.0102)",0.0
"(5, -0.0022)",0.0
"(5, -0.0)",0.0
"(6, 0.0001)",0.027777777777777776
"(6, 0.0146)",0.0
"(6, 0.0823)",0.0
"(7, 0.0015)",0.041666666666666664
"(7, 0.0065)",0.0
"(7, 0.0196)",0.0
"(7, -0.0018)",0.0
"(7, -0.0011)",0.0
"(7, -0.0003)",0.0
"(8, 0.0006)",0.0
"(8, 0.0202)",0.0
"(8, 0.0571)",0.0
"(8, -0.1032)",0.0
"(9, 0.0003)",0.0
"(9, 0.0006)",0.0
"(9, 0.0008)",0.013888888888888888
"(9, -0.0009)",0.013888888888888888
"(9, -0.0006)",0.0
"(9, -0.0001)",0.013888888888888888
"(-1, None)",0.2777777777777778
