State,Initial_Probability
"(0, 0.0)",0.09722222222222222
"(0, 0.0028)",0.4027777777777778
"(0, 0.0119)",0.0
"(0, -0.0078)",0.013888888888888888
"(0, -0.0018)",0.0
"(0, -0.0)",0.0
"(1, 0.0001)",0.08333333333333333
"(1, 0.0023)",0.05555555555555555
"(1, 0.0163)",0.0
"(1, -0.0043)",0.0
"(1, -0.0011)",0.0
"(1, -0.0001)",0.013888888888888888
"(2, 0.0008)",0.0
"(2, 0.0028)",0.0
"(2, 0.0075)",0.0
"(2, -0.0119)",0.0
"(2, -0.0038)",0.0
"(2, -0.0003)",0.0
"(3, 0.0019)",0.013888888888888888
"(3, 0.002)",0.0
"(3, 0.002)",0.013888888888888888
"(3, -0.0011)",0.0
"(3, -0.0009)",0.0
"(3, -0.0008)",0.013888888888888888
"(4, 0.0004)",0.0
"(4, 0.0016)",0.0
"(4, 0.0044)",0.0
"(5, 0.0006)",0.0
"(5, 0.0023)",0.0
"(5, 0.0032)",0.0
"(5, -0.0014)",0.0
"(6, 0.0004)",0.0
"(6, 0.002)",0.0
"(6, 0.0052)",0.0
"(6, -0.0189)",0.0
"(7, 0.0003)",0.0
"(7, 0.0006)",0.0
"(7, 0.0009)",0.0
"(7, -0.0033)",0.013888888888888888
"(7, -0.0028)",0.013888888888888888
"(7, -0.0021)",0.0
"(-1, None)",0.2638888888888889
