State,Initial_Probability
"(0, 0.0)",0.25
"(0, 0.0072)",0.1527777777777778
"(0, 0.1739)",0.0
"(0, -0.025)",0.013888888888888888
"(0, -0.0031)",0.013888888888888888
"(0, -0.0)",0.0
"(1, 0.0)",0.08333333333333333
"(1, 0.0071)",0.0
"(1, 0.0797)",0.0
"(1, -0.6055)",0.0
"(1, -0.0267)",0.0
"(1, -0.0)",0.125
"(2, 0.0001)",0.0
"(2, 0.0706)",0.0
"(2, 0.4634)",0.0
"(2, -0.0009)",0.0
"(2, -0.0005)",0.0
"(2, -0.0002)",0.0
"(3, 0.0001)",0.041666666666666664
"(3, 0.0092)",0.0
"(3, 0.0823)",0.0
"(3, -0.0008)",0.0
"(3, -0.0003)",0.0
"(3, -0.0001)",0.027777777777777776
"(4, 0.0003)",0.0
"(4, -0.0009)",0.013888888888888888
"(4, -0.0005)",0.0
"(4, -0.0001)",0.013888888888888888
"(5, 0.0015)",0.041666666666666664
"(5, 0.0065)",0.0
"(5, 0.0196)",0.0
"(5, -0.0018)",0.0
"(5, -0.001)",0.0
"(5, -0.0003)",0.0
"(-1, None)",0.2222222222222222
