Label,Adjective
0,0.0002694430081205
0,0.04242782177652141
0,0.1233410303746878
0,-0.0008755037722663
0,-0.00064790655495355
0,-0.0004203093376408
1,1.2035727896724124e-05
1,0.005033119878001064
1,0.0441492921024773
1,-0.0047812456189538
1,-0.0015012910141214571
1,-0.0001817817250593
2,0.000132034064912
2,0.0016537159037782
2,0.0030330493068387
3,0.0001150054824468
3,0.0006553232357406199
3,0.0015348673960014
4,0.0007122608766074
4,0.004655868460109801
4,0.0075694914936351
4,-0.0020861105406799
4,-0.00111816985943894
4,-0.0001300895226176
5,0.0017015142880409
5,0.00223851165293475
5,0.0027755090178286
5,-0.000470444136017
5,-0.00030664519181389997
5,-0.0001428462476108
6,2.3057370057503524e-05
6,0.008226603095765584
6,0.1646983097902155
6,-0.0745180858930102
6,-0.009036245697016046
6,-5.142991848958077e-05
7,0.0010019774621715
7,0.0036274360817916467
7,0.0104522799099777
8,0.0002977705893465
8,0.0013361528095293667
8,0.0025771502739395
8,-0.000730230566755
8,-0.0004835578221678667
8,-0.0001735295301942
9,0.0019410879488794
9,0.053318706493598045
9,0.1084808638157451
10,6.078420399917635e-06
10,0.00211452367829499
10,0.0096393917976428
10,-0.0092866830026959
10,-0.001308363045551312
10,-1.316618373407907e-05
11,0.0001400633496727
11,0.0010352152000678999
11,0.0019303670504631
11,-0.0295072790024708
12,0.0002183680318195
12,0.0008097503991470667
12,0.0022714375993146
12,-0.0005365490582215
12,-0.00031497815260430695
12,-2.124236702802777e-05
13,0.0004268609479608
13,0.006981755059268325
13,0.0257211398735044
14,1.1339046630788026e-05
14,0.00024936233306286016
14,0.0009210615643575
15,0.0019843979362973
15,0.05697539796854968
15,0.209370741513634
15,-0.0019175195942504
16,0.0005657128052398
16,0.00183262694964502
16,0.0032953956456468
16,-0.0004086193965898
16,-0.0002989983007613
16,-0.0002366313123162
17,1.292453410550251e-05
17,0.0025507678611491206
17,0.0102180695955428
17,-0.0009586738274365
17,-0.00043028571389467003
17,-6.340667881411003e-05
18,1.6623915617134886e-05
18,0.00030050135047566916
18,0.0007722610727993
