Label,Adjective
0,6.833966809974477e-05
0,0.004028668953217914
0,0.0300953027183958
0,-0.0160702563152031
0,-0.0025343602688523187
0,-3.954932786635954e-06
1,2.1267342222822514e-05
1,0.007569968972833035
1,0.0797378111296071
1,-0.6054641819909624
1,-0.031472064961796185
1,-1.623231423725045e-06
2,0.0001492735316833
2,0.00508284710658302
2,0.0252814436752711
2,-0.024957604430474
3,0.0001417352439237
3,0.044785132044281514
3,0.4633574441371688
3,-0.0236823527300051
3,-0.006451121217124975
3,-0.0001887593425436
4,0.000758210187119
4,0.007845066380361367
4,0.0196404460880671
4,-0.0016633282536528
4,-0.0008757733488528193
4,-8.821844405283855e-05
5,8.174931659686917e-05
5,0.03166781403318544
5,0.1738714263560573
5,-0.0101893376313782
5,-0.002242979727563767
5,-1.0978822172402798e-05
6,0.0001414833295456
6,0.014555598366680285
6,0.082329759333992
7,0.0014946953769313
7,0.0065001290072776
7,0.0195940277642261
7,-0.0017889757736124
7,-0.0010841609142263665
7,-0.0003414150167853
8,0.000570208381349
8,0.02016740077020022
8,0.0571161227938347
8,-0.1032100356371382
9,0.0003155966114222
9,0.00056078695240905
9,0.0008059772933959
9,-0.0009227482706064
9,-0.0006303349902462232
9,-6.825994734786949e-05
