Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,sphereActivity,0.65,standard,1,1
grims2,sphereActivity,0.65,standard,2,5
grims2,sphereActivity,0.65,standard,3,5
grims2,sphereActivity,0.65,standard,4,4
grims2,sphereActivity,0.65,standard,5,5
grims2,sphereActivity,0.65,standard,6,4
grims2,sphereActivity,0.65,standard,7,4
grims2,sphereActivity,0.65,standard,8,6
grims2,sphereActivity,0.65,standard,9,5
grims2,sphereActivity,0.65,standard,10,4
pedro,sphereActivity,0.65,standard,1,2
pedro,sphereActivity,0.65,standard,3,3
pedro,sphereActivity,0.65,standard,4,6
xxx,sphereActivity,0.65,standard,1,6
xxx,sphereActivity,0.65,standard,2,8
xxx,sphereActivity,0.65,standard,3,7
xxx,sphereActivity,0.65,standard,4,10
xxx,sphereActivity,0.65,standard,5,3
xxx,sphereActivity,0.65,standard,6,4
slasto,sphereActivity,0.65,standard,2,9
slasto,sphereActivity,0.65,standard,3,12
slasto,sphereActivity,0.65,standard,4,8
slasto,sphereActivity,0.65,standard,6,13
slasto,sphereActivity,0.65,standard,7,8
slasto,sphereActivity,0.65,standard,8,4
minestra,sphereActivity,0.65,standard,1,5
minestra,sphereActivity,0.65,standard,2,2
minestra,sphereActivity,0.65,standard,3,3
minestra,sphereActivity,0.65,standard,4,5
minestra,sphereActivity,0.65,standard,5,3
minestra,sphereActivity,0.65,standard,6,4
dan,sphereActivity,0.65,standard,1,7
dan,sphereActivity,0.65,standard,2,6
dan,sphereActivity,0.65,standard,3,10
dan,sphereActivity,0.65,standard,4,3
dan,sphereActivity,0.65,standard,5,12
pabluccio,sphereActivity,0.65,standard,1,14
pabluccio,sphereActivity,0.65,standard,2,13
pabluccio,sphereActivity,0.65,standard,3,6
pabluccio,sphereActivity,0.65,standard,4,9
SADAX,sphereActivity,0.65,standard,1,4
SADAX,sphereActivity,0.65,standard,2,4
SADAX,sphereActivity,0.65,standard,3,5
grims,sphereActivity,0.65,standard,1,7
grims,sphereActivity,0.65,standard,2,4
grims,sphereActivity,0.65,standard,3,6
grims,sphereActivity,0.65,standard,4,5
grims,sphereActivity,0.65,standard,5,3
grims,sphereActivity,0.65,standard,6,4
Pa0l0l0,sphereActivity,0.65,standard,1,4
Pa0l0l0,sphereActivity,0.65,standard,2,4
Pa0l0l0,sphereActivity,0.65,standard,3,4
Pa0l0l0,sphereActivity,0.65,standard,4,5
Pa0l0l0,sphereActivity,0.65,standard,5,1
Pa0l0l0,sphereActivity,0.65,standard,6,4
peppe,sphereActivity,0.65,standard,1,10
peppe,sphereActivity,0.65,standard,2,8
peppe,sphereActivity,0.65,standard,3,8
bigw,sphereActivity,0.65,standard,1,3
bigw,sphereActivity,0.65,standard,2,16
bigw,sphereActivity,0.65,standard,3,7
bigw,sphereActivity,0.65,standard,4,4
bigw,sphereActivity,0.65,standard,5,3
bigw,sphereActivity,0.65,standard,7,6
qwe,sphereActivity,0.65,standard,1,7
qwe,sphereActivity,0.65,standard,2,8
qwe,sphereActivity,0.65,standard,3,7
qwe,sphereActivity,0.65,standard,4,11
qwe,sphereActivity,0.65,standard,6,11
ocran,sphereActivity,0.65,standard,1,4
ocran,sphereActivity,0.65,standard,2,3
ocran,sphereActivity,0.65,standard,3,10
